Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000175793,SFN,Gene Expression,0.73260306879946,0.0,0.0,84667,16.5637753107415,3247
ENSG00000211592,IGKC,Gene Expression,0.6911377374862171,0.0,0.0,337323,58.33878755354062,3316
ENSG00000251562,MALAT1,Gene Expression,0.622940254962761,0.0,0.0,87711,30.19573054883463,3314
ENSG00000211677,IGLC2,Gene Expression,0.5955469073738794,0.0,0.0,35938,3.3143487607221696,2006
ENSG00000185479,KRT6B,Gene Expression,0.5786304936857108,0.0,0.0,96790,10.847481195966358,3211
ENSG00000143546,S100A8,Gene Expression,0.5607118511029516,0.0,0.0,305501,14.821350597139634,3272
ENSG00000163220,S100A9,Gene Expression,0.508031615886422,0.0,0.0,199304,13.781187115115825,3276
ENSG00000170465,KRT6C,Gene Expression,0.5054462595699601,0.0,0.0,55910,5.058962435535003,2927
ENSG00000128422,KRT17,Gene Expression,0.5010942408756998,0.0,0.0,38735,4.94114744214346,2883
ENSG00000178934,LGALS7B,Gene Expression,0.4815853651606075,0.0,0.0,15830,0.6488592772311725,1239
ENSG00000186832,KRT16,Gene Expression,0.47673129516586354,0.0,0.0,87292,7.884901039992249,3146
ENSG00000163207,IVL,Gene Expression,0.4759655967335811,0.0,0.0,8877,1.1956321046947005,1701
ENSG00000211897,IGHG3,Gene Expression,0.4640399658937053,0.0,0.0,15967,1.8297294916741604,1833
ENSG00000110484,SCGB2A2,Gene Expression,0.43897402463818197,0.0,0.0,1580,0.4855416852833523,480
ENSG00000161634,DCD,Gene Expression,0.43147056608612105,0.0,0.0,920,0.265224276172862,160
ENSG00000211892,IGHG4,Gene Expression,0.4292390399662172,0.0,0.0,10461,1.391635074263071,1646
ENSG00000186081,KRT5,Gene Expression,0.424519051715851,0.0,0.0,50328,5.816045114793055,3053
ENSG00000196611,MMP1,Gene Expression,0.40794290223247354,0.0,0.0,8195,1.6530472597956611,2012
ENSG00000135046,ANXA1,Gene Expression,0.40618621503434305,0.0,0.0,10692,2.014983751657723,2351
ENSG00000164692,COL1A2,Gene Expression,0.4047235207142158,0.0,0.0,17514,5.445562068626332,3080
ENSG00000143556,S100A7,Gene Expression,0.4027562259500678,0.0,0.0,177578,8.839576787483333,3216
ENSG00000205420,KRT6A,Gene Expression,0.4019501474190705,0.0,0.0,85938,6.197618661970987,3089
ENSG00000196754,S100A2,Gene Expression,0.39014530717720153,0.0,0.0,31726,4.099016517990651,2870
ENSG00000211896,IGHG1,Gene Expression,0.3889837035128937,0.0,0.0,17158,2.3827269233341704,2216
ENSG00000197756,RPL37A,Gene Expression,0.3797851521112097,0.0,0.0,26720,1.7947933673558822,2244
ENSG00000170454,KRT75,Gene Expression,0.3728258550907742,0.0,0.0,2292,0.3969883959940814,831
ENSG00000167768,KRT1,Gene Expression,0.3713317719539678,0.0,0.0,83743,4.949910643566349,3030
ENSG00000211895,IGHA1,Gene Expression,0.36690216737745135,0.0,0.0,15155,2.2436829195196855,2256
ENSG00000186847,KRT14,Gene Expression,0.3668947639372653,0.0,0.0,97308,6.963761227400204,3123
ENSG00000186395,KRT10,Gene Expression,0.3619789856423605,0.0,0.0,78508,4.858018149451995,3001
ENSG00000198804,MT-CO1,Gene Expression,0.35980769260084805,0.0,0.0,33603,2.136805971682871,2352
ENSG00000211675,IGLC1,Gene Expression,0.3575198401182629,0.0,0.0,11639,1.4546919629955908,1773
ENSG00000198712,MT-CO2,Gene Expression,0.3538843815675164,0.0,0.0,43115,3.3699016954212992,2725
ENSG00000124107,SLPI,Gene Expression,0.3518610624488842,0.0,0.0,8148,0.7870806099134475,1445
ENSG00000124935,SCGB1D2,Gene Expression,0.3517581465684131,0.0,0.0,243,0.09752647234046397,99
ENSG00000069849,ATP1B3,Gene Expression,0.34779869806612934,0.0,0.0,11020,2.200965907459397,2480
ENSG00000169469,SPRR1B,Gene Expression,0.34627507690300346,0.0,0.0,39447,2.761328436384917,2572
ENSG00000124102,PI3,Gene Expression,0.3461117587075665,0.0,0.0,28998,2.310076833836288,2407
ENSG00000164687,FABP5,Gene Expression,0.3394648089106819,0.0,0.0,54705,4.329336474800952,2970
ENSG00000171711,DEFB4A,Gene Expression,0.3371614975745344,0.0,0.0,2645,0.08750852439867535,366
ENSG00000211679,IGLC3,Gene Expression,0.32907201899839245,0.0,0.0,1121,0.11984480051470467,332
ENSG00000205076,LGALS7,Gene Expression,0.3252869405564371,0.0,0.0,3242,0.12410047129191568,550
ENSG00000171858,RPS21,Gene Expression,0.32527156776053306,0.0,0.0,15993,1.0657846195195477,1861
ENSG00000231500,RPS18,Gene Expression,0.32401346933492,0.0,0.0,22364,1.714704788599876,2285
ENSG00000188508,KRTDAP,Gene Expression,0.3155851608605452,0.0,0.0,70831,3.8425474489178058,2844
ENSG00000137818,RPLP1,Gene Expression,0.31330800628300043,0.0,0.0,37654,2.9389947617950076,2749
ENSG00000213741,RPS29,Gene Expression,0.2977612194643904,0.0,0.0,23237,2.0592309529498296,2519
ENSG00000145592,RPL37,Gene Expression,0.2958349568977324,0.0,0.0,24491,1.8498440155759353,2388
ENSG00000234745,HLA-B,Gene Expression,0.28915428276992744,0.0,0.0,54425,9.810141618747545,3250
ENSG00000112306,RPS12,Gene Expression,0.2866180117259151,0.0,0.0,28109,1.926439891439186,2416
ENSG00000253755,IGHGP,Gene Expression,0.2852193724808186,0.0,0.0,641,0.05615058403023527,191
ENSG00000134755,DSC2,Gene Expression,0.2791257664165433,0.0,0.0,5390,0.6341965005182314,1404
ENSG00000189001,SBSN,Gene Expression,0.275139575954266,0.0,0.0,16951,1.0190055999378402,1744
ENSG00000167656,LY6D,Gene Expression,0.2722006054087353,0.0,0.0,14486,0.8120143362908798,1607
ENSG00000203783,PRR9,Gene Expression,0.2601595373482179,0.0,0.0,423,0.05908825346673059,192
ENSG00000272398,CD24,Gene Expression,0.25743092362542536,0.0,0.0,8474,1.1310178305793104,1942
ENSG00000165474,GJB2,Gene Expression,0.25389129809984945,0.0,0.0,15845,1.4259665516604099,2115
ENSG00000112378,PERP,Gene Expression,0.24852257039713235,0.0,0.0,29358,2.3790433205177544,2581
ENSG00000241343,RPL36A,Gene Expression,0.24694035786862847,0.0,0.0,12347,0.7649398791726363,1622
ENSG00000105372,RPS19,Gene Expression,0.24633807305502248,0.0,0.0,21401,1.6792528068985428,2335
