Feature ID,Feature Name,Feature Type,I,P value,Adjusted p value,Feature Counts in Spots Under Tissue,Median Normalized Average Counts,Barcodes Detected per Feature
ENSG00000211677,IGLC2,Gene Expression,0.6958614519445173,0.0,0.0,138956,14.922684741362579,3286
ENSG00000175793,SFN,Gene Expression,0.6726896167773537,0.0,0.0,74399,9.197656489216905,3231
ENSG00000211592,IGKC,Gene Expression,0.6620454447844731,0.0,0.0,542993,74.9986856689827,3714
ENSG00000185479,KRT6B,Gene Expression,0.622990113114159,0.0,0.0,128004,11.850470504794147,3441
ENSG00000161634,DCD,Gene Expression,0.5945559340664374,0.0,0.0,1153,0.5242524594344204,200
ENSG00000186832,KRT16,Gene Expression,0.5852706043221209,0.0,0.0,89200,7.506671275030397,3249
ENSG00000211896,IGHG1,Gene Expression,0.5659757500368598,0.0,0.0,50467,5.30801444428477,2850
ENSG00000128422,KRT17,Gene Expression,0.5659071123208761,0.0,0.0,53882,5.323793052170003,3041
ENSG00000170465,KRT6C,Gene Expression,0.5643390212245352,0.0,0.0,64128,5.326772835435563,2957
ENSG00000186081,KRT5,Gene Expression,0.5412368773363584,0.0,0.0,77844,7.6427213322672864,3277
ENSG00000211897,IGHG3,Gene Expression,0.5409356263782648,0.0,0.0,39520,4.794124579594741,2806
ENSG00000196754,S100A2,Gene Expression,0.5269418559811287,0.0,0.0,51363,5.073857147592651,3001
ENSG00000143546,S100A8,Gene Expression,0.5179288122635023,0.0,0.0,194795,10.498467816111154,3470
ENSG00000110484,SCGB2A2,Gene Expression,0.5062979435922884,0.0,0.0,2097,0.8501030518930939,546
ENSG00000163207,IVL,Gene Expression,0.5045615039354355,0.0,0.0,11205,1.1835640290043452,1656
ENSG00000163220,S100A9,Gene Expression,0.5018345549057892,0.0,0.0,134959,9.043100120419169,3413
ENSG00000251562,MALAT1,Gene Expression,0.49648672530663385,0.0,0.0,53907,14.367281190221092,3692
